size,time_taken,num_threads
500,0.010414,5
500,0.008341,10
500,0.009174,15
500,0.008797,20
500,0.01045,25
1000,0.016414,5
1000,0.015177,10
1000,0.014341,15
1000,0.014797,20
1000,0.016453,25
1500,0.015891,5
1500,0.013314,10
1500,0.014534,15
1500,0.015619,20
1500,0.014222,25
2000,0.023754,5
2000,0.021531,10
2000,0.022535,15
2000,0.022069,20
2000,0.02351,25
2500,0.035768,5
2500,0.034392,10
2500,0.033232,15
2500,0.033845,20
2500,0.035679,25
