dim1,dim2,dim3,num_threads,time (ns)
150, 200, 170, 1, 67932407
150, 200, 170, 2, 45442002
150, 200, 170, 3, 66980522
150, 200, 170, 4, 80077896
150, 200, 170, 5, 57057774
150, 200, 170, 6, 66999896
150, 200, 170, 7, 64685413
150, 200, 170, 8, 79970484
150, 200, 170, 9, 69207113
150, 200, 170, 10, 61746795
150, 200, 170, 11, 60714283
150, 200, 170, 12, 87484486
150, 200, 170, 13, 61126082
150, 200, 170, 14, 66117081
150, 200, 170, 15, 72353912
150, 200, 170, 16, 79182354
150, 200, 170, 17, 82628873
150, 200, 170, 18, 71706484
150, 200, 170, 19, 92495277
150, 200, 170, 20, 39972403
150, 200, 170, 21, 44234015
150, 200, 170, 22, 56627328
150, 200, 170, 23, 61602456
150, 200, 170, 24, 96947909
150, 200, 170, 25, 81651882
150, 200, 170, 26, 49997245
150, 200, 170, 27, 43254811
150, 200, 170, 28, 65904620
150, 200, 170, 29, 59491818
150, 200, 170, 30, 93501410
150, 200, 170, 31, 75601741
150, 200, 170, 32, 76188379
150, 200, 170, 33, 103959830
150, 200, 170, 34, 103901156
150, 200, 170, 35, 71972082
150, 200, 170, 36, 87677988
150, 200, 170, 37, 55390068
150, 200, 170, 38, 41225030
150, 200, 170, 39, 40002065
150, 200, 170, 40, 43730948
150, 200, 170, 41, 48921637
150, 200, 170, 42, 62335902
150, 200, 170, 43, 68900696
150, 200, 170, 44, 73735366
150, 200, 170, 45, 54192656
150, 200, 170, 46, 66628877
150, 200, 170, 47, 91438307
150, 200, 170, 48, 82111517
150, 200, 170, 49, 94185094
150, 200, 170, 50, 77688144
150, 200, 170, 51, 57653366
150, 200, 170, 52, 75108820
150, 200, 170, 53, 44651813
150, 200, 170, 54, 57324233
150, 200, 170, 55, 57721895
150, 200, 170, 56, 66580245
150, 200, 170, 57, 62411244
150, 200, 170, 58, 89579234
150, 200, 170, 59, 67118992
150, 200, 170, 60, 69055192
150, 200, 170, 61, 69636690
150, 200, 170, 62, 51922763
150, 200, 170, 63, 92269795
150, 200, 170, 64, 56366438
150, 200, 170, 65, 70180615
150, 200, 170, 66, 56495021
150, 200, 170, 67, 75249022
150, 200, 170, 68, 40117176
150, 200, 170, 69, 57312322
150, 200, 170, 70, 68071790
150, 200, 170, 71, 49484093
150, 200, 170, 72, 72707395
150, 200, 170, 73, 79084873
150, 200, 170, 74, 83091018
150, 200, 170, 75, 52181350
150, 200, 170, 76, 74615581
150, 200, 170, 77, 59779022
150, 200, 170, 78, 52307532
150, 200, 170, 79, 66839487
150, 200, 170, 80, 60907457
150, 200, 170, 81, 50836415
150, 200, 170, 82, 54396741
150, 200, 170, 83, 56183506
150, 200, 170, 84, 73371451
150, 200, 170, 85, 96937561
150, 200, 170, 86, 67033355
150, 200, 170, 87, 69984070
150, 200, 170, 88, 80032992
150, 200, 170, 89, 55863182
150, 200, 170, 90, 49890284
150, 200, 170, 91, 70240796
150, 200, 170, 92, 59296502
150, 200, 170, 93, 77052316
150, 200, 170, 94, 55272543
150, 200, 170, 95, 49798048
150, 200, 170, 96, 70000982
150, 200, 170, 97, 96571945
150, 200, 170, 98, 93005010
150, 200, 170, 99, 91513196
