dim1,dim2,dim3,num_threads,time (ns)
375, 800, 476, 1, 1086804481
375, 800, 476, 2, 692151347
375, 800, 476, 3, 323362755
375, 800, 476, 4, 354223447
375, 800, 476, 5, 258417325
375, 800, 476, 6, 260880242
375, 800, 476, 7, 228994932
375, 800, 476, 8, 245963509
375, 800, 476, 9, 269114211
375, 800, 476, 10, 249106012
375, 800, 476, 11, 272629402
375, 800, 476, 12, 224121945
375, 800, 476, 13, 223516997
375, 800, 476, 14, 228651746
375, 800, 476, 15, 228049216
375, 800, 476, 16, 244352549
375, 800, 476, 17, 565640652
375, 800, 476, 18, 236455159
375, 800, 476, 19, 208826812
375, 800, 476, 20, 258097740
375, 800, 476, 21, 204964944
375, 800, 476, 22, 218688555
375, 800, 476, 23, 232353882
375, 800, 476, 24, 239611169
375, 800, 476, 25, 253262979
375, 800, 476, 26, 218085412
375, 800, 476, 27, 220578272
375, 800, 476, 28, 204978020
375, 800, 476, 29, 219335652
375, 800, 476, 30, 220959592
375, 800, 476, 31, 216623613
375, 800, 476, 32, 234679017
375, 800, 476, 33, 220754721
375, 800, 476, 34, 225516762
375, 800, 476, 35, 243743862
375, 800, 476, 36, 209053496
375, 800, 476, 37, 233579352
375, 800, 476, 38, 220611846
375, 800, 476, 39, 214639810
375, 800, 476, 40, 243742025
375, 800, 476, 41, 243719373
375, 800, 476, 42, 229414971
375, 800, 476, 43, 257136997
375, 800, 476, 44, 239529994
375, 800, 476, 45, 221390852
375, 800, 476, 46, 215337961
375, 800, 476, 47, 233462607
375, 800, 476, 48, 222533401
375, 800, 476, 49, 241990822
375, 800, 476, 50, 288023082
375, 800, 476, 51, 229644880
375, 800, 476, 52, 225854453
375, 800, 476, 53, 219770155
375, 800, 476, 54, 237514795
375, 800, 476, 55, 243616899
375, 800, 476, 56, 262289774
375, 800, 476, 57, 256501222
375, 800, 476, 58, 247027146
375, 800, 476, 59, 239358381
375, 800, 476, 60, 249977611
375, 800, 476, 61, 223865709
375, 800, 476, 62, 231083386
375, 800, 476, 63, 252941606
375, 800, 476, 64, 242624179
375, 800, 476, 65, 254566693
375, 800, 476, 66, 278226052
375, 800, 476, 67, 252761019
375, 800, 476, 68, 252918039
375, 800, 476, 69, 237390740
375, 800, 476, 70, 238961471
375, 800, 476, 71, 275167352
375, 800, 476, 72, 240923475
375, 800, 476, 73, 260022199
375, 800, 476, 74, 264115977
375, 800, 476, 75, 268433701
375, 800, 476, 76, 263216011
375, 800, 476, 77, 248401545
375, 800, 476, 78, 248729042
375, 800, 476, 79, 329760359
375, 800, 476, 80, 259452383
375, 800, 476, 81, 256694204
375, 800, 476, 82, 301917729
375, 800, 476, 83, 265981957
375, 800, 476, 84, 286042941
375, 800, 476, 85, 283001822
375, 800, 476, 86, 266775709
375, 800, 476, 87, 261669680
375, 800, 476, 88, 258417834
375, 800, 476, 89, 312720589
375, 800, 476, 90, 245713666
375, 800, 476, 91, 268092751
375, 800, 476, 92, 322703703
375, 800, 476, 93, 260837255
375, 800, 476, 94, 247290241
375, 800, 476, 95, 254447714
375, 800, 476, 96, 279715141
375, 800, 476, 97, 270123811
375, 800, 476, 98, 293019139
375, 800, 476, 99, 279121089
