dim1,dim2,dim3,num_threads,time (ns)
500, 500, 500, 1, 777681943
500, 500, 500, 2, 352979949
500, 500, 500, 3, 252859137
500, 500, 500, 4, 217774218
500, 500, 500, 5, 293246690
500, 500, 500, 6, 218595878
500, 500, 500, 7, 191220690
500, 500, 500, 8, 195403494
500, 500, 500, 9, 193576957
500, 500, 500, 10, 195455816
500, 500, 500, 11, 173640637
500, 500, 500, 12, 201785908
500, 500, 500, 13, 176872120
500, 500, 500, 14, 186530454
500, 500, 500, 15, 192639213
500, 500, 500, 16, 178935577
500, 500, 500, 17, 183704416
500, 500, 500, 18, 191878862
500, 500, 500, 19, 207996160
500, 500, 500, 20, 179070344
500, 500, 500, 21, 248742130
500, 500, 500, 22, 174558409
500, 500, 500, 23, 183046661
500, 500, 500, 24, 235029131
500, 500, 500, 25, 188375273
500, 500, 500, 26, 179600147
500, 500, 500, 27, 189124396
500, 500, 500, 28, 186866616
500, 500, 500, 29, 187448958
500, 500, 500, 30, 202075177
500, 500, 500, 31, 315793680
500, 500, 500, 32, 171970214
500, 500, 500, 33, 178020792
500, 500, 500, 34, 198335603
500, 500, 500, 35, 177094023
500, 500, 500, 36, 206385735
500, 500, 500, 37, 179276708
500, 500, 500, 38, 179436481
500, 500, 500, 39, 187984829
500, 500, 500, 40, 210169060
500, 500, 500, 41, 183496654
500, 500, 500, 42, 175815356
500, 500, 500, 43, 189079943
500, 500, 500, 44, 185410338
500, 500, 500, 45, 201364778
500, 500, 500, 46, 198207289
500, 500, 500, 47, 181861946
500, 500, 500, 48, 215765531
500, 500, 500, 49, 207088676
500, 500, 500, 50, 236605036
500, 500, 500, 51, 184489652
500, 500, 500, 52, 186053677
500, 500, 500, 53, 219468255
500, 500, 500, 54, 191194655
500, 500, 500, 55, 208673618
500, 500, 500, 56, 195464869
500, 500, 500, 57, 219366796
500, 500, 500, 58, 205487578
500, 500, 500, 59, 244328108
500, 500, 500, 60, 214565197
500, 500, 500, 61, 217354181
500, 500, 500, 62, 319982727
500, 500, 500, 63, 216505412
500, 500, 500, 64, 198343699
500, 500, 500, 65, 221017979
500, 500, 500, 66, 198190817
500, 500, 500, 67, 221707872
500, 500, 500, 68, 225419725
500, 500, 500, 69, 227397425
500, 500, 500, 70, 224633327
500, 500, 500, 71, 211073136
500, 500, 500, 72, 225582879
500, 500, 500, 73, 217816083
500, 500, 500, 74, 225549850
500, 500, 500, 75, 227284037
500, 500, 500, 76, 219617014
500, 500, 500, 77, 209982225
500, 500, 500, 78, 228962836
500, 500, 500, 79, 294510832
500, 500, 500, 80, 234342247
500, 500, 500, 81, 218481079
500, 500, 500, 82, 237645452
500, 500, 500, 83, 230776047
500, 500, 500, 84, 257311282
500, 500, 500, 85, 234543811
500, 500, 500, 86, 214461791
500, 500, 500, 87, 244976066
500, 500, 500, 88, 228761268
500, 500, 500, 89, 216221377
500, 500, 500, 90, 215290535
500, 500, 500, 91, 238055536
500, 500, 500, 92, 270867467
500, 500, 500, 93, 308773830
500, 500, 500, 94, 233123659
500, 500, 500, 95, 303779130
500, 500, 500, 96, 230408093
500, 500, 500, 97, 288716075
500, 500, 500, 98, 277862253
500, 500, 500, 99, 353949884
