dim1,dim2,dim3,num_threads,time (ns)
105, 120, 110, 1, 11622515
105, 120, 110, 2, 7671803
105, 120, 110, 3, 6983784
105, 120, 110, 4, 6253911
105, 120, 110, 5, 8245904
105, 120, 110, 6, 7782215
105, 120, 110, 7, 8033784
105, 120, 110, 8, 8007819
105, 120, 110, 9, 7849092
105, 120, 110, 10, 7575464
105, 120, 110, 11, 9031162
105, 120, 110, 12, 7664148
105, 120, 110, 13, 8140614
105, 120, 110, 14, 9405327
105, 120, 110, 15, 10862315
105, 120, 110, 16, 7760616
105, 120, 110, 17, 7319217
105, 120, 110, 18, 10573044
105, 120, 110, 19, 9272771
105, 120, 110, 20, 7811923
105, 120, 110, 21, 7502541
105, 120, 110, 22, 9713067
105, 120, 110, 23, 10507028
105, 120, 110, 24, 7891551
105, 120, 110, 25, 10591634
105, 120, 110, 26, 7769317
105, 120, 110, 27, 7753623
105, 120, 110, 28, 7865979
105, 120, 110, 29, 7597452
105, 120, 110, 30, 11228465
105, 120, 110, 31, 11027728
105, 120, 110, 32, 8387421
105, 120, 110, 33, 7387822
105, 120, 110, 34, 6994795
105, 120, 110, 35, 8485190
105, 120, 110, 36, 12020480
105, 120, 110, 37, 10446347
105, 120, 110, 38, 9072756
105, 120, 110, 39, 7992264
105, 120, 110, 40, 7650426
105, 120, 110, 41, 7078328
105, 120, 110, 42, 9015824
105, 120, 110, 43, 9145756
105, 120, 110, 44, 10350966
105, 120, 110, 45, 9161883
105, 120, 110, 46, 7614733
105, 120, 110, 47, 7330483
105, 120, 110, 48, 6943255
105, 120, 110, 49, 9643200
105, 120, 110, 50, 8954799
105, 120, 110, 51, 7909864
105, 120, 110, 52, 7586272
105, 120, 110, 53, 7296613
105, 120, 110, 54, 8763423
105, 120, 110, 55, 9753663
105, 120, 110, 56, 7671312
105, 120, 110, 57, 7018878
105, 120, 110, 58, 12811081
105, 120, 110, 59, 9009704
105, 120, 110, 60, 9183074
105, 120, 110, 61, 7962675
105, 120, 110, 62, 7239225
105, 120, 110, 63, 7915192
105, 120, 110, 64, 7729262
105, 120, 110, 65, 11039465
105, 120, 110, 66, 9745695
105, 120, 110, 67, 9681861
105, 120, 110, 68, 9816495
105, 120, 110, 69, 7899045
105, 120, 110, 70, 7985142
105, 120, 110, 71, 7676680
105, 120, 110, 72, 7687503
105, 120, 110, 73, 7856062
105, 120, 110, 74, 8437072
105, 120, 110, 75, 12527567
105, 120, 110, 76, 7813280
105, 120, 110, 77, 9618818
105, 120, 110, 78, 9837714
105, 120, 110, 79, 9476891
105, 120, 110, 80, 8176464
105, 120, 110, 81, 7945975
105, 120, 110, 82, 7983601
105, 120, 110, 83, 7841161
105, 120, 110, 84, 7418153
105, 120, 110, 85, 14146681
105, 120, 110, 86, 7680555
105, 120, 110, 87, 8099323
105, 120, 110, 88, 8033658
105, 120, 110, 89, 7084014
105, 120, 110, 90, 8970068
105, 120, 110, 91, 8702659
105, 120, 110, 92, 10959853
105, 120, 110, 93, 8426569
105, 120, 110, 94, 15205659
105, 120, 110, 95, 11564068
105, 120, 110, 96, 9168287
105, 120, 110, 97, 9138607
105, 120, 110, 98, 9958022
105, 120, 110, 99, 9317924
