dim1,dim2,dim3,num_threads,time (ns)
105, 120, 110, 1, 6985593
105, 120, 110, 2, 5102060
105, 120, 110, 3, 2605147
105, 120, 110, 4, 3419717
105, 120, 110, 5, 4472479
105, 120, 110, 6, 2590539
105, 120, 110, 7, 3695383
105, 120, 110, 8, 2534669
105, 120, 110, 9, 4244504
105, 120, 110, 10, 2936613
105, 120, 110, 11, 4640018
105, 120, 110, 12, 3805173
105, 120, 110, 13, 2864310
105, 120, 110, 14, 5978912
105, 120, 110, 15, 3998335
105, 120, 110, 16, 4529867
105, 120, 110, 17, 3968434
105, 120, 110, 18, 7405635
105, 120, 110, 19, 4711236
105, 120, 110, 20, 3852884
105, 120, 110, 21, 4399389
105, 120, 110, 22, 5429382
105, 120, 110, 23, 4451984
105, 120, 110, 24, 5366402
105, 120, 110, 25, 5652839
105, 120, 110, 26, 4788839
105, 120, 110, 27, 5103553
105, 120, 110, 28, 3274644
105, 120, 110, 29, 5565360
105, 120, 110, 30, 5639496
105, 120, 110, 31, 6807353
105, 120, 110, 32, 4530643
105, 120, 110, 33, 4019529
105, 120, 110, 34, 4916744
105, 120, 110, 35, 5918706
105, 120, 110, 36, 6654006
105, 120, 110, 37, 7723490
105, 120, 110, 38, 5130396
105, 120, 110, 39, 4683948
105, 120, 110, 40, 5674998
105, 120, 110, 41, 4877225
105, 120, 110, 42, 6025304
105, 120, 110, 43, 5942834
105, 120, 110, 44, 3995383
105, 120, 110, 45, 5491929
105, 120, 110, 46, 5159781
105, 120, 110, 47, 5828153
105, 120, 110, 48, 5777071
105, 120, 110, 49, 7382462
105, 120, 110, 50, 6804784
105, 120, 110, 51, 5654177
105, 120, 110, 52, 4304068
105, 120, 110, 53, 5569848
105, 120, 110, 54, 7288462
105, 120, 110, 55, 5559330
105, 120, 110, 56, 5947420
105, 120, 110, 57, 4745377
105, 120, 110, 58, 5796888
105, 120, 110, 59, 5893638
105, 120, 110, 60, 6444761
105, 120, 110, 61, 7734206
105, 120, 110, 62, 6079398
105, 120, 110, 63, 5718189
105, 120, 110, 64, 6144351
105, 120, 110, 65, 4536454
105, 120, 110, 66, 6569086
105, 120, 110, 67, 7201946
105, 120, 110, 68, 5671548
105, 120, 110, 69, 5386825
105, 120, 110, 70, 6381836
105, 120, 110, 71, 5924394
105, 120, 110, 72, 5720893
105, 120, 110, 73, 6298598
105, 120, 110, 74, 7665201
105, 120, 110, 75, 6404953
105, 120, 110, 76, 7189725
105, 120, 110, 77, 8497994
105, 120, 110, 78, 10663130
105, 120, 110, 79, 7614281
105, 120, 110, 80, 6686370
105, 120, 110, 81, 6847413
105, 120, 110, 82, 6998018
105, 120, 110, 83, 6650822
105, 120, 110, 84, 7287319
105, 120, 110, 85, 6656995
105, 120, 110, 86, 6490017
105, 120, 110, 87, 6247351
105, 120, 110, 88, 7168170
105, 120, 110, 89, 5509046
105, 120, 110, 90, 9710080
105, 120, 110, 91, 8284924
105, 120, 110, 92, 7679676
105, 120, 110, 93, 124968412
105, 120, 110, 94, 14564473
105, 120, 110, 95, 6756607
105, 120, 110, 96, 8720497
105, 120, 110, 97, 8585555
105, 120, 110, 98, 9072366
105, 120, 110, 99, 9890552
